spearman_coefficient,p-value,Category1,Category2
0.16883622698830433,0.1137275597765235,C0,C1
nan,nan,C0,C2
0.05803198015449669,0.5890668299269739,C0,C3
0.013957263155977064,0.8967108455657127,C0,C4
0.18448948146051675,0.08349527582936006,C0,C5
0.24249516915477046,0.022041995993234715,C0,C6
0.014637754289080242,0.8917047392920647,C0,C7
0.11639071281488336,0.2773895965610521,C0,C8
0.16883622698830436,0.11372755977652343,C1,C0
nan,nan,C1,C2
-0.07718039326790731,0.47220337965106407,C1,C3
-0.015120821423002428,0.8881535644118987,C1,C4
0.1150591373742679,0.2829609399249773,C1,C5
0.4367088607594937,1.881247615434552e-05,C1,C6
0.2094860705580003,0.04880745559275362,C1,C7
0.053943835943925225,0.6156135119016113,C1,C8
nan,nan,C2,C0
nan,nan,C2,C1
nan,nan,C2,C3
nan,nan,C2,C4
nan,nan,C2,C5
nan,nan,C2,C6
nan,nan,C2,C7
nan,nan,C2,C8
0.05803198015449668,0.5890668299269741,C3,C0
-0.07718039326790731,0.47220337965106407,C3,C1
nan,nan,C3,C2
0.13558153613666013,0.20520864592577326,C3,C4
0.11970798125026402,0.26383118506545017,C3,C5
-0.07718039326790731,0.47220337965106407,C3,C6
0.10603450149843395,0.322673998004153,C3,C7
0.03289091113299982,0.759613346390323,C3,C8
0.013957263155977064,0.8967108455657127,C4,C0
-0.01512082142300243,0.8881535644118985,C4,C1
nan,nan,C4,C2
0.13558153613666013,0.20520864592577326,C4,C3
0.1405232668903958,0.1890208759004563,C4,C5
-0.01512082142300243,0.8881535644118985,C4,C6
0.1320308063990516,0.21743565727854197,C4,C7
0.07391455924894309,0.4912049995237836,C4,C8
0.18448948146051672,0.08349527582936013,C5,C0
0.1150591373742679,0.2829609399249773,C5,C1
nan,nan,C5,C2
0.11970798125026404,0.2638311850654501,C5,C3
0.1405232668903958,0.1890208759004563,C5,C4
0.19633106774180634,0.06518451162672761,C5,C6
0.27571437885276445,0.008917195990406091,C5,C7
0.08950500512362661,0.40420900894464884,C5,C8
0.24249516915477046,0.022041995993234715,C6,C0
0.4367088607594937,1.881247615434552e-05,C6,C1
nan,nan,C6,C2
-0.07718039326790731,0.47220337965106407,C6,C3
-0.015120821423002428,0.8881535644118987,C6,C4
0.1963310677418063,0.06518451162672761,C6,C5
0.13832477178066432,0.19610444677303104,C6,C7
0.053943835943925225,0.6156135119016113,C6,C8
0.014637754289080243,0.8917047392920647,C7,C0
0.20948607055800034,0.048807455592753526,C7,C1
nan,nan,C7,C2
0.10603450149843395,0.322673998004153,C7,C3
0.13203080639905157,0.217435657278542,C7,C4
0.27571437885276445,0.008917195990406091,C7,C5
0.13832477178066432,0.19610444677303104,C7,C6
0.1533328790143649,0.15140425126886345,C7,C8
0.11639071281488336,0.2773895965610521,C8,C0
0.053943835943925225,0.6156135119016113,C8,C1
nan,nan,C8,C2
0.03289091113299982,0.759613346390323,C8,C3
0.07391455924894309,0.4912049995237836,C8,C4
0.0895050051236266,0.40420900894464873,C8,C5
0.053943835943925225,0.6156135119016113,C8,C6
0.1533328790143649,0.15140425126886345,C8,C7
