,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.67,0.76,0.71,0.8,0.83,0.78,0.58,0.77,0.86,0.69
C7,0.23,0.28,0.27,0.17,0.33,0.21,0.16,0.32,0.14,0.36
C1,0.2,0.12,0.23,0.03,0.14,0.06,0.06,0.06,0.05,0.09
C5,0.19,0.23,0.25,0.23,0.05,0.25,0.22,0.14,0.2,0.29
C6,0.14,0.32,0.19,0.4,0.28,0.33,0.22,0.36,0.38,0.2
C2,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.06,0.01,0.02,0.03,0.07,0.01,0.11,0.03,0.01,0.01
C0,0.05,0.02,0.01,0.04,0.06,0.05,0.04,0.04,0.14,0.02
C8,0.04,0.01,0.01,0.01,0.03,0.0,0.11,0.01,0.01,0.01
C4,0.04,0.01,0.01,0.04,0.05,0.09,0.08,0.04,0.05,0.02
