,FID,PL,PM
0,Image,"Java, CPP, C, CSharp, Python, Typescript, Ruby, Javascript, Go",PHP
1,Github,"Java, CPP, C, CSharp, Python, PHP, Typescript, Ruby, Javascript, Go",
2,Links,"Java, CPP, C, CSharp, Python, PHP, Typescript, Ruby, Javascript, Go",
3,List,"CPP, CSharp, Python, Ruby, Go","Java, C, PHP, Typescript, Javascript"
4,Project,"CPP, CSharp, Python, Javascript, Go","Java, C, PHP, Typescript, Ruby"
5,Inline,"CPP, CSharp, Python, Typescript, Ruby","Java, C, PHP, Javascript, Go"
6,Code,"CPP, CSharp, Python, Typescript, Ruby","Java, C, PHP, Javascript, Go"
7,Animation,,"Java, CPP, C, CSharp, Python, PHP, Typescript, Ruby, Javascript, Go"
8,Video,,"Java, CPP, C, CSharp, Python, PHP, Typescript, Ruby, Javascript, Go"
9,Table,,"Java, CPP, C, CSharp, Python, PHP, Typescript, Ruby, Javascript, Go"
