0.1263146933250026,negligible,Name
0.04300739352285744,negligible,List
0.2973029261689055,small,Image
0.008330729980214516,negligible,Animation
0.16161616161616163,small,Video
0.010309278350515464,negligible,Table
0.43153181297511195,medium,Github
0.5546183484327815,large,Links
0.08476517754868271,negligible,Project
-0.18629594918254713,small,Inline
-0.35228574403832136,medium,Code
-0.26606268874310113,small,repository_ID
0.1263146933250026,negligible,fullname
0.1263146933250026,negligible,URL
-0.26606268874310113,small,created_date
0.0,negligible,language
-1.0,large,description
1.0,large,number_of_stars
0.9987503905029679,large,num_of_forks
1.0,large,num_of_watchers
0.9237738206810372,large,open_issue_count
-1.0,large,repo_id
0.1263146933250026,negligible,repository
0.9679266895761741,large,community
0.10590440487347703,negligible,downloads
0.15453504113297928,small,releases
0.10121836925960637,negligible,assets
0.9431427678850359,large,commits
0.8987816307403936,large,open_issues
0.9558471311048631,large,closed_issues
0.9542851192335728,large,total_issues
0.728314068520254,large,open_prs
0.9402270123919608,large,closed_prs
0.9399146100177028,large,total_prs
0.5176507341455795,large,readme_issues
0.9223159429344996,large,readme_commits
0.9808393210455066,large,Apop_rank
1.0,large,Rank
1.0,large,Cpop_rank
1.0,large,Rank_real
1.0,large,Cpop_rank_real
0.9808393210455066,large,Apop_rank_real
1.0,large,label
