spearman-coeffiecient,p-value,Feature1,Feature2
0.2030217099133519,0.047272251754040824,List,Image
0.013896006208761566,0.893105702486971,List,Animation
0.047693656153770296,0.6444816533558237,List,Video
nan,nan,List,Table
0.4168020302123857,2.397697749394172e-05,List,Github
0.5547707881522395,4.489616060916393e-09,List,Links
0.023507387507060884,0.820160395118241,List,Project
0.028533691058737175,0.7825742819144998,List,Inline
0.0917164702850017,0.374144080472128,List,Code
0.2030217099133519,0.047272251754040824,Image,List
0.2797437240224496,0.0057739014886637515,Image,Animation
0.10832382759734292,0.29346797868111146,Image,Video
nan,nan,Image,Table
0.5494456875986664,6.742082694329408e-09,Image,Github
0.5878962984107616,3.024682456429117e-10,Image,Links
0.06574307034864217,0.5245164475992925,Image,Project
-0.07337014428053522,0.47744432020571204,Image,Inline
0.02477295144809431,0.8106546695576656,Image,Code
0.013896006208761566,0.893105702486971,Animation,List
0.2797437240224496,0.0057739014886637515,Animation,Image
0.23814139510954738,0.019467529922942633,Animation,Video
nan,nan,Animation,Table
0.07609135208013845,0.4612178689659392,Animation,Github
-0.012968458703331194,0.9002027702625008,Animation,Links
0.010924595569667262,0.9158682076994854,Animation,Project
-0.19121258381027634,0.06201198765069783,Animation,Inline
0.22555957711913968,0.027130711307446286,Animation,Code
0.04769365615377029,0.6444816533558239,Video,List
0.10832382759734292,0.29346797868111146,Video,Image
0.2381413951095474,0.01946752992294262,Video,Animation
nan,nan,Video,Table
0.01103759411915927,0.9150012204855853,Video,Github
0.07132725418985035,0.48982505748989913,Video,Links
-0.00015480651481654837,0.9988056323126933,Video,Project
0.03889577547185182,0.7067314687570898,Video,Inline
0.1116594572497924,0.27876642537637947,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.41680203021238577,2.397697749394149e-05,Github,List
0.5494456875986665,6.742082694329359e-09,Github,Image
0.07609135208013844,0.4612178689659392,Github,Animation
0.011037594119159272,0.9150012204855853,Github,Video
nan,nan,Github,Table
0.8355727515110145,3.454105828364097e-26,Github,Links
0.2138775942056394,0.036403646204137816,Github,Project
0.0020600141029133495,0.9841075480685187,Github,Inline
0.013385076273529306,0.8970140433868979,Github,Code
0.5547707881522395,4.489616060916393e-09,Links,List
0.5878962984107616,3.024682456429117e-10,Links,Image
-0.012968458703331196,0.9002027702625008,Links,Animation
0.07132725418985035,0.48982505748989913,Links,Video
nan,nan,Links,Table
0.8355727515110145,3.454105828364097e-26,Links,Github
0.12026986047889901,0.24312755294008026,Links,Project
-0.03945014206010897,0.7027461223701837,Links,Inline
-0.08461324013302116,0.4124165879295255,Links,Code
0.023507387507060884,0.820160395118241,Project,List
0.06574307034864217,0.5245164475992925,Project,Image
0.01092459556966726,0.9158682076994855,Project,Animation
-0.00015480651481654837,0.9988056323126933,Project,Video
nan,nan,Project,Table
0.21387759420563943,0.036403646204137746,Project,Github
0.12026986047889901,0.24312755294008026,Project,Links
0.1373545774162938,0.1820400677704807,Project,Inline
-0.004395374684884191,0.9660987089392911,Project,Code
0.028533691058737175,0.7825742819144998,Inline,List
-0.07337014428053522,0.47744432020571204,Inline,Image
-0.19121258381027634,0.06201198765069783,Inline,Animation
0.03889577547185182,0.7067314687570898,Inline,Video
nan,nan,Inline,Table
0.0020600141029133495,0.9841075480685187,Inline,Github
-0.03945014206010896,0.7027461223701837,Inline,Links
0.1373545774162938,0.1820400677704807,Inline,Project
0.40354483749645736,4.563822182328279e-05,Inline,Code
0.09171647028500168,0.3741440804721283,Code,List
0.024772951448094306,0.8106546695576656,Code,Image
0.22555957711913968,0.027130711307446286,Code,Animation
0.11165945724979238,0.27876642537637947,Code,Video
nan,nan,Code,Table
0.013385076273529304,0.8970140433868979,Code,Github
-0.08461324013302117,0.4124165879295255,Code,Links
-0.004395374684884191,0.9660987089392911,Code,Project
0.40354483749645736,4.563822182328279e-05,Code,Inline
